"filename", "language", "JavaScript", "JSON", "HTML", "Properties", "CSS", "comment", "blank", "total"
"d:\Documents\2-2\CSE216\Pushti\routes\adminRoute.js", "JavaScript", 67, 0, 0, 0, 0, 0, 4, 71
"d:\Documents\2-2\CSE216\Pushti\routes\agentRoute.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 28
"d:\Documents\2-2\CSE216\Pushti\routes\farmerRoute.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 16
"d:\Documents\2-2\CSE216\Pushti\routes\homePageRoute.js", "JavaScript", 8, 0, 0, 0, 0, 0, 4, 12
"d:\Documents\2-2\CSE216\Pushti\routes\loginRoute.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"d:\Documents\2-2\CSE216\Pushti\routes\logoutRoute.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"d:\Documents\2-2\CSE216\Pushti\routes\registerRoute.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"d:\Documents\2-2\CSE216\Pushti\views\HomeView.ejs", "HTML", 0, 0, 164, 0, 0, 45, 1, 210
"d:\Documents\2-2\CSE216\Pushti\views\adminAddLoan.ejs", "HTML", 0, 0, 256, 0, 0, 1, 6, 263
"d:\Documents\2-2\CSE216\Pushti\views\adminAddProduct.ejs", "HTML", 0, 0, 239, 0, 0, 1, 6, 246
"d:\Documents\2-2\CSE216\Pushti\views\adminCombinedReports.ejs", "HTML", 0, 0, 454, 0, 0, 2, 15, 471
"d:\Documents\2-2\CSE216\Pushti\views\adminDashboard.ejs", "HTML", 0, 0, 127, 0, 0, 1, 2, 130
"d:\Documents\2-2\CSE216\Pushti\views\adminFarmerInfo.ejs", "HTML", 0, 0, 423, 0, 0, 1, 18, 442
"d:\Documents\2-2\CSE216\Pushti\views\adminUpReport.ejs", "HTML", 0, 0, 335, 0, 0, 1, 13, 349
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdateAgent.ejs", "HTML", 0, 0, 450, 0, 0, 1, 16, 467
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdateBudget.ejs", "HTML", 0, 0, 383, 0, 0, 1, 14, 398
