"filename", "language", "HTML", "JavaScript", "JSON", "Properties", "CSS", "comment", "blank", "total"
"d:\Documents\2-2\CSE216\Pushti\routes\farmerRoute.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"d:\Documents\2-2\CSE216\Pushti\routes\homePageRoute.js", "JavaScript", 0, 8, 0, 0, 0, 0, 4, 12
"d:\Documents\2-2\CSE216\Pushti\routes\loginRoute.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"d:\Documents\2-2\CSE216\Pushti\routes\logoutRoute.js", "JavaScript", 0, 16, 0, 0, 0, 0, 3, 19
"d:\Documents\2-2\CSE216\Pushti\routes\registerRoute.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"d:\Documents\2-2\CSE216\Pushti\views\HomeView.ejs", "HTML", 164, 0, 0, 0, 0, 45, 1, 210
"d:\Documents\2-2\CSE216\Pushti\views\adminCombinedReports.ejs", "HTML", 77, 0, 0, 0, 0, 2, 1, 80
"d:\Documents\2-2\CSE216\Pushti\views\adminDashboard.ejs", "HTML", 86, 0, 0, 0, 0, 1, 2, 89
"d:\Documents\2-2\CSE216\Pushti\views\agentBuyPage.ejs", "HTML", 328, 0, 0, 0, 0, 1, 15, 344
"d:\Documents\2-2\CSE216\Pushti\views\agentDashboard.ejs", "HTML", 115, 0, 0, 0, 0, 1, 3, 119
"d:\Documents\2-2\CSE216\Pushti\views\agentSellPage.ejs", "HTML", 330, 0, 0, 0, 0, 1, 14, 345
"d:\Documents\2-2\CSE216\Pushti\views\farmerDashboard.ejs", "HTML", 123, 0, 0, 0, 0, 1, 2, 126
"d:\Documents\2-2\CSE216\Pushti\views\inventoryStatus.ejs", "HTML", 140, 0, 0, 0, 0, 1, 5, 146
"d:\Documents\2-2\CSE216\Pushti\views\layout.ejs", "HTML", 31, 0, 0, 0, 0, 1, 1, 33
"d:\Documents\2-2\CSE216\Pushti\views\login.ejs", "HTML", 224, 0, 0, 0, 0, 2, 19, 245
"d:\Documents\2-2\CSE216\Pushti\views\register.ejs", "HTML", 528, 0, 0, 0, 0, 51, 34, 613
"d:\Documents\2-2\CSE216\Pushti\views\registerBuyer.ejs", "HTML", 369, 0, 0, 0, 0, 1, 19, 389
"d:\Documents\2-2\CSE216\Pushti\views\request.ejs", "HTML", 243, 0, 0, 0, 0, 1, 8, 252
"d:\Documents\2-2\CSE216\Pushti\views\sendFeedbackAgent.ejs", "HTML", 191, 0, 0, 0, 0, 1, 7, 199
"d:\Documents\2-2\CSE216\Pushti\views\sendFeedbackFarmer.ejs", "HTML", 194, 0, 0, 0, 0, 1, 7, 202
"d:\Documents\2-2\CSE216\Pushti\views\showAgentFeedback.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Documents\2-2\CSE216\Pushti\views\showBuyHistory.ejs", "HTML", 154, 0, 0, 0, 0, 1, 5, 160
"d:\Documents\2-2\CSE216\Pushti\views\showFarmerFeedback.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Documents\2-2\CSE216\Pushti\views\showFarmerTransactions.ejs", "HTML", 158, 0, 0, 0, 0, 1, 5, 164
"d:\Documents\2-2\CSE216\Pushti\views\showSellHistory.ejs", "HTML", 154, 0, 0, 0, 0, 1, 5, 160
"d:\Documents\2-2\CSE216\Pushti\views\temp.ejs", "HTML", 42, 0, 0, 0, 0, 1, 2, 45
"Total", "-", 3651, 2284, 2497, 4, 9527, 318, 2215, 20496
